PLATFORM;DEVICE;READ MODE;WRITE MODE;INPUT FLAGS;OUTPUT FLAGS;SIZE;TIME;ITERATIONS
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;200704;1.64;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;262144;2.61;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;331776;4.48;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;409600;9.53;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;495616;16.12;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;589824;28.69;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;692224;35.83;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;802816;49.41;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;921600;63.2;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1048576;89.18;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1183744;98.69;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1327104;125.59;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1478656;148.29;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1638400;182.68;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1806336;202.91;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1982464;242.19;100
